City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Wegrow,PL,2022-02-01 20:59:44,52.3995,22.0163,34.59,95,100,12.12
68,Wendo,ET,2022-02-01 20:59:44,6.6,38.4167,60.69,45,94,3.58
69,Ushuaia,AR,2022-02-01 20:57:48,-54.8,-68.3,51.42,81,75,37.98
70,Nome,US,2022-02-01 20:57:19,64.5011,-165.4064,19.17,69,0,21.09
71,Yumen,CN,2022-02-01 20:59:45,40.2833,97.2,18.01,28,7,5.19
72,Kodiak,US,2022-02-01 20:57:50,57.79,-152.4072,38.71,100,100,11.5
73,Turbat,PK,2022-02-01 20:59:45,26.0023,63.044,69.58,48,0,2.73
74,Kozlovo,RU,2022-02-01 20:59:46,56.5167,36.2667,21.76,94,100,8.79
75,Khorramshahr,IR,2022-02-01 20:59:46,30.4397,48.1664,55.36,88,0,6.91
76,Mount Gambier,AU,2022-02-01 20:59:47,-37.8333,140.7667,48.11,71,75,4.61
77,Husavik,IS,2022-02-01 20:58:41,66.0449,-17.3389,6.71,82,33,13.98
78,Folldal,NO,2022-02-01 20:59:47,62.1325,9.9968,12.22,96,100,2.84
79,Hithadhoo,MV,2022-02-01 20:57:05,-0.6,73.0833,82.45,72,5,11.39
80,Gonzalez,US,2022-02-01 20:56:20,30.5816,-87.2914,65.66,65,100,1.01
81,Thompson,CA,2022-02-01 20:54:48,55.7435,-97.8558,-14.64,64,20,10.36
82,Tiksi,RU,2022-02-01 20:59:48,71.6872,128.8694,-13.72,99,100,4.5
83,Iqaluit,CA,2022-02-01 20:59:48,63.7506,-68.5145,-14.31,75,75,8.99
84,Upernavik,GL,2022-02-01 20:59:49,72.7868,-56.1549,-15.21,73,100,6.78
85,Ust-Koksa,RU,2022-02-01 20:59:49,50.2696,85.6108,2.12,97,94,0.98
86,Prince Rupert,CA,2022-02-01 20:59:49,54.3161,-130.3201,35.29,93,0,5.75
87,Bengkulu,ID,2022-02-01 20:57:17,-3.8004,102.2655,73.81,85,100,5.91
88,Dikson,RU,2022-02-01 20:59:50,73.5069,80.5464,3.94,93,100,18.3
89,Hasaki,JP,2022-02-01 20:59:50,35.7333,140.8333,32.4,45,0,23.17
90,Mataura,NZ,2022-02-01 20:59:51,-46.1927,168.8643,73.47,66,100,6.82
91,Cape Town,ZA,2022-02-01 20:58:38,-33.9258,18.4232,69.1,84,20,8.05
92,Wanning,CN,2022-02-01 21:00:51,18.8003,110.3967,68.13,92,96,6.22
93,Karla,EE,2022-02-01 21:00:52,59.3723,24.9275,21.16,93,100,4.61
94,Nanakuli,US,2022-02-01 21:00:52,21.3906,-158.1547,80.11,64,100,8.05
95,Wodonga,AU,2022-02-01 21:00:53,-36.1167,146.8833,59.97,100,3,2.66
96,Hervey Bay,AU,2022-02-01 21:00:53,-25.2986,152.8535,81.03,78,100,12.5
97,Hermanus,ZA,2022-02-01 21:00:53,-34.4187,19.2345,69.91,84,24,2.26
